name,current_version,latest_version,security_issues
@humanwhocodes/config-array,0.9.5,Unknown,No
@jest/core,27.5.1,Unknown,No
@mswjs/cookies,0.1.7,Unknown,No
@mswjs/interceptors,0.12.7,Unknown,No
@nodelib/fs.walk,1.2.8,Unknown,No
@oclif/errors,1.3.5,Unknown,No
@oclif/help,1.0.1,Unknown,No
@oclif/linewrap,1.0.0,Unknown,No
@oclif/parser,3.8.7,Unknown,No
@oclif/plugin-autocomplete,0.3.0,Unknown,No
@oclif/plugin-help,3.3.1,Unknown,No
@oclif/plugin-not-found,1.2.6,Unknown,No
@oclif/plugin-plugins,1.10.11,Unknown,No
@oclif/plugin-warn-if-update-available,1.7.3,Unknown,No
@oclif/screen,1.0.4,Unknown,No
@open-draft/until,1.0.3,Unknown,No
@sentry/browser,6.13.3,Unknown,No
@sentry/cli,1.74.3,Unknown,No
@sentry/node,7.106.0,Unknown,No
@smithy/core,1.3.7,Unknown,No
@smithy/querystring-parser,2.1.4,Unknown,No
@smithy/util-endpoints,1.1.5,Unknown,No
@storybook/addon-backgrounds,6.5.0-alpha.62,Unknown,No
@storybook/addon-controls,6.5.0-alpha.62,Unknown,No
@storybook/addon-docs,6.5.0-alpha.62,Unknown,No
@storybook/addon-measure,6.5.0-alpha.62,Unknown,No
@storybook/addon-outline,6.5.0-alpha.62,Unknown,No
@storybook/addon-toolbars,6.5.0-alpha.62,Unknown,No
@storybook/addon-viewport,6.5.0-alpha.62,Unknown,No
@storybook/addons,6.5.0-alpha.62,Unknown,No
@storybook/api,6.5.0-alpha.62,Unknown,No
@storybook/channel-postmessage,6.5.0-alpha.62,Unknown,No
@storybook/channels,6.5.0-alpha.62,Unknown,No
@storybook/client-api,6.5.0-alpha.62,Unknown,No
@storybook/client-logger,6.5.0-alpha.62,Unknown,No
@storybook/components,6.5.0-alpha.62,Unknown,No
@storybook/core-client,6.5.0-alpha.62,Unknown,No
@storybook/core-common,6.5.0-alpha.62,Unknown,No
@storybook/core-events,6.5.0-alpha.62,Unknown,No
@storybook/core,6.5.0-alpha.62,Unknown,No
@storybook/docs-tools,6.5.0-alpha.62,Unknown,No
@storybook/node-logger,6.5.0-alpha.62,Unknown,No
@storybook/preview-web,6.5.0-alpha.62,Unknown,No
@storybook/react-docgen-typescript-plugin,1.0.2-canary.6.9d540b91e815f8fc2f8829189deb00553559ff63.0,Unknown,No
@storybook/router,6.5.0-alpha.62,Unknown,No
@storybook/semver,7.3.2,Unknown,No
